Name,Channel,Code,Market
ABC-KHBS,ABC,KHBS,Fort Smith 
CBS-KFSM,CBS,KFSM,Fort Smith 
FOX-KFTA,FOX,KFTA,Fort Smith 
NBC-KNWA,NBC,KNWA,Fort Smith 
ABC-KATV,ABC,KATV,Little Rock 
CBS-KTHV,CBS,KTHV,Little Rock 
FOX-KLRT,FOX,KLRT,Little Rock 
NBC-KARK,NBC,KARK,Little Rock 
ABC-KAIT,ABC,KAIT,Jonesboro 
ABC-KGTV,ABC,KGTV,San Diego 
NBC-KNSD,NBC,KNSD,San Diego 
CBS-KFMB,CBS,KFMB,San Diego 
FOX-KTVU,FOX,KTVU,San Francisco 
ABC-KGO,ABC,KGO,San Francisco 
CBS-KFIX,CBS,KFIX,San Francisco 
NBC-KRON,NBC,KRON,San Francisco 
NBC-KNTV,NBC,KNTV,San Francisco 
NBC-KOAA,NBC,KOAA,Colorado Springs 
ABC-KRDO,ABC,KRDO,Colorado Springs 
CBS-KKTV,CBS,KKTV,Colorado Springs 
FOX-KXRM,FOX,KXRM,Colorado Springs 
CBS-KCNC,CBS,KCNC,Denver 
NBC-KUSA,NBC,KUSA,Denver 
FOX-KDVR,FOX,KDVR,Denver 
ABC-KMGH,ABC,KMGH,Denver 
FOX-KFOX,FOX,KFOX,Grand Junction 
NBC-KKCO,NBC,KKCO,Grand Junction 
CBS-KREK,CBS,KREK,Grand Junction 
ABC-KJCT,ABC,KJCT,Grand Junction 
CBS-WFSB,CBS,WFSB,Hartford 
FOX-WFTX,FOX,WFTX,Ft. Mayers 
NBC-WBBH,NBC,WBBH,Ft. Mayers 
ABC-WZVN,ABC,WZVN,Ft. Mayers 
CBS-WINK,CBS,WINK,Ft. Mayers 
FOX-WOFL,FOX,WOFL,Orlando 
CBS-WKMG,CBS,WKMG,Orlando 
ABC-WFTV,ABC,WFTV,Orlando 
NBC-WESH,NBC,WESH,Orlando 
CBS-WFOR,CBS,WFOR,Miami 
FOX-WSVN,FOX,WSVN,Miami 
NBC-WTVJ,NBC,WTVJ,Miami 
ABC-WPLG,ABC,WPLG,Miami 
ABC-WPBF,ABC,WPBF,Palm Beach 
FOX-WFLX,FOX,WFLX,Palm Beach 
NBC-WPTV,NBC,WPTV,Palm Beach 
CBS-WPEC,CBS,WPEC,Palm Beach 
CBS-WTSP,CBS,WTSP,Tampa 
ABC-WFTS,ABC,WFTS,Tampa 
FOX-WTVT,FOX,WTVT,Tampa 
NBC-WFTL,NBC,WFTL,Tampa 
CBS-WGCL,CBS,WGCL,Georgia
CBS-KGMB,CBS,KGMB,Honolulu 
FOX-KHON,FOX,KHON,Honolulu 
ABC-KITV,ABC,KITV,Honolulu 
NBC-KHNL,NBC,KHNL,Honolulu 
NBC-WLEX,NBC,WLEX,Lexington 
CBS-WKYT,CBS,WKYT,Lexington 
ABC-WTVQ,ABC,WTVQ,Lexington 
FOX-WDKY,FOX,WDKY,Lexington 
CBS-WBZ,CBS,WBZ,Boston 
FOX-WFXT,FOX,WFXT,Boston 
NBC-WHDH,NBC,WHDH,Boston 
ABC-WCVB,ABC,WCVB,Boston 
NBC-KARE,NBC,KARE,Minneapolis 
ABC-KSTP,ABC,KSTP,Minneapolis 
CBS-WCCO,CBS,WCCO,Minneapolis 
FOX-KMSP,FOX,KMSP,Minneapolis 
FOX-KASA,FOX,KASA,Albuquerque 
CBS-KRQE,CBS,KRQE,Albuquerque 
NBC-KOB,NBC,KOB,Albuquerque 
ABC-KOAT,ABC,KOAT,Albuquerque 
NBC-KSNV,NBC,KSNV,Las Vegas
ABC-KTNV,ABC,KTNV,Las Vegas
FOX-KVVU,FOX,KVVU,Las Vegas
CBS-KLAS,CBS,KLAS,Las Vegas
ABC-WABC,ABC,WABC,New York
CBS-WCBS,CBS,WCBS,New York
NBC-WNBC,NBC,WNBC,New York
FOX-WNYW,FOX,WNYW,New York
FOX-WXIX,FOX,WXIX,Cincinnati 
NBC-WLWT,NBC,WLWT,Cincinnati 
ABC-WCPO,ABC,WCPO,Cincinnati 
CBS-WKRC,CBS,WKRC,Cincinnati 
FOX-KOKH,FOX,KOKH,Oklahoma City 
NBC-KFOR,NBC,KFOR,Oklahoma City 
CBS-KWTV,CBS,KWTV,Oklahoma City 
ABC-KTUL,ABC,KTUL,Tulsa 
FOX-KOKI,FOX,KOKI,Tulsa 
CBS-KOTV,CBS,KOTV,Tulsa 
NBC-KJRH,NBC,KJRH,Tulsa 
NBC-WMGM,NBC ,WMGM,Philadelphia 
NBC-WCAU,NBC,WCAU,Philadelphia 
FOX-WTFX,FOX,WTFX,Philadelphia 
ABC-WPVI,ABC,WPVI,Philadelphia 
CBS-WYOU,CBS,WYOU,Wilkes Barre
NBC-WBRE,NBC,WBRE,Wilkes Barre
ABC-WNEP,ABC,WNEP,Wilkes Barre
CBS-WDEF,CBS,WDEF,Chattanooga 
NBC-WRCB,NBC,WRCB,Chattanooga 
FOX-WDSI,FOX,WDSI,Chattanooga 
ABC-WTVC,ABC,WTVC,Chattanooga 
CBS-WVLT,CBS,WVLT,Knoxville
NBC-WBIR,NBC,WBIR,Knoxville
ABC-WATE,ABC,WATE,Knoxville
FOX-WTNZ,FOX,WTNZ,Knoxville
NBC-WMC,NBC,WMC,Memphis 
FOX-WHBQ,FOX,WHBQ,Memphis 
ABC-WTPY,ABC,WTPY,Memphis 
CBS-WREG,CBS,WREG,Memphis 
ABC-WKRN,ABC,WKRN,Nashville 
FOX-WZTV,FOX,WZTV,Nashville 
CBS-WTVF,CBS,WTVF,Nashville 
NBC-WSMV,NBC,WSMV,Nashville 
NBC-KRBC,NBC,KRBC,Abilene 
CBS-KTAB,CBS,KTAB,Abilene 
ABC-KTXS,ABC,KTXS,Abilene 
CBS-KFDA,CBS,KFDA,Amarillo 
NBC-KAMR,NBC,KAMR,Amarillo 
ABC-KVII,ABC,KVII,Amarillo 
FOX-KCIT,FOX,KCIT,Amarillo 
CBS-KEYE,CBS,KEYE,Austin 
NBC-KXAN,NBC,KXAN,Austin 
ABC-KVUE,ABC,KVUE,Austin 
Fox-KTBC,Fox,KTBC,Austin 
FOX-KRIV,FOX,KRIV,Houston 
ABC-KTRK,ABC,KTRK,Houston 
CBS-KHOU,CBS,KHOU,Houston 
NBC-KPRC,NBC,KPRC,Houston 
ABC-KAMC,ABC,KAMC,Lubbock 
FOX-KJTV,FOX,KJTV,Lubbock 
NBC-KCBD,NBC,KCBD,Lubbock 
CBS-KLBK,CBS,KLBK,Lubbock 
NBC-KWES,NBC,KWES,Odessa 
ABC-KMID,ABC,KMID,Odessa 
CBS-KOSA,CBS,KOSA,Odessa 
CBS-KENS,CBS,KENS,San Antonio 
FOX-KABB,FOX,KABB,San Antonio 
ABC-KSAT,ABC,KSAT,San Antonio 
NBC-WOAI,NBC,WOAI,San Antonio 
ABC-KXXV,ABC,KXXV,Waco
CBS-KWTX,CBS,KWTX,Waco
NBC-KCEN,NBC,KCEN,Waco
FOX-KCPQ,FOX,KCPQ,Seattle 
NBC-KING,NBC,KING,Seattle 
